epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.0127,2.44716,5.80868,1.25962,0.00093,0.28,0.00086,0.00021,3.00245,5.46783,1.64485,2e-05,2e-05,2e-05
2,50.5025,2.42145,4.90637,1.41196,0.00187,0.56,0.00221,0.00062,2.73589,5.23175,1.50726,5.92575e-05,5.92575e-05,5.92575e-05
3,70.6941,2.14699,4.94694,1.24178,0.00267,0.8,0.00403,0.00146,2.38599,4.8686,1.34038,9.7525e-05,9.7525e-05,9.7525e-05
