epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.3111,2.44716,5.80868,1.25962,0.00093,0.28,0.00086,0.00021,3.00245,5.46783,1.64485,2e-05,2e-05,2e-05
2,37.2646,2.42038,4.90588,1.41151,0.00187,0.56,0.00221,0.00062,2.73298,5.22752,1.50575,5.9703e-05,5.9703e-05,5.9703e-05
3,60.5567,2.14565,4.9409,1.24286,0.00267,0.8,0.00404,0.00147,2.37946,4.86771,1.3364,9.901e-05,9.901e-05,9.901e-05
4,79.4182,1.98981,4.81389,1.15654,0.00293,0.88,0.00697,0.00288,1.93548,4.48825,1.15291,0.000137921,0.000137921,0.000137921
5,96.7159,1.75322,4.01814,1.07618,0.0032,0.96,0.01037,0.00421,1.72409,4.38761,1.08022,0.000176436,0.000176436,0.000176436
6,113.336,1.62942,3.90052,1.07741,0.00333,1,0.01285,0.00454,1.62802,4.32831,1.06059,0.000214555,0.000214555,0.000214555
7,131.797,1.7433,3.02215,1.09643,0.0032,0.96,0.01228,0.00501,1.65068,4.34573,1.0661,0.000252278,0.000252278,0.000252278
8,148.574,1.94241,3.23639,1.15789,0.00293,0.88,0.01126,0.00524,1.53201,4.37468,1.06289,0.000289605,0.000289605,0.000289605
9,165.074,1.83297,2.87977,1.22623,0.00293,0.88,0.01038,0.00437,1.54178,4.34278,1.0821,0.000326536,0.000326536,0.000326536
10,181.572,2.01437,2.31057,1.27115,0.00293,0.88,0.0101,0.00419,1.5876,4.35454,1.09928,0.000363071,0.000363071,0.000363071
11,197.837,1.82123,2.68914,1.17711,0.0028,0.84,0.00885,0.00331,1.62104,4.31221,1.11002,0.00039921,0.00039921,0.00039921
12,213.975,1.66306,2.2655,1.08921,0.00307,0.92,0.0092,0.00309,1.59563,4.33597,1.12295,0.000434953,0.000434953,0.000434953
13,230.812,1.69613,2.45978,1.09022,0.00307,0.92,0.00856,0.00288,1.63764,4.25581,1.13419,0.0004703,0.0004703,0.0004703
14,247.653,1.89309,2.15678,1.20106,0.00307,0.92,0.00875,0.00324,1.6898,4.23011,1.14001,0.000505251,0.000505251,0.000505251
15,263.685,1.71029,2.56311,1.13043,0.00307,0.92,0.00805,0.0031,1.64599,4.27924,1.13299,0.000539806,0.000539806,0.000539806
16,279.628,1.5662,2.11037,1.21465,0.00293,0.88,0.00719,0.00277,1.65937,4.31326,1.13714,0.000573965,0.000573965,0.000573965
17,295.556,1.65683,1.99442,1.18033,0.00293,0.88,0.00676,0.0023,1.67876,4.28924,1.14414,0.000607728,0.000607728,0.000607728
18,311.566,1.80821,2.10107,1.21796,0.00293,0.88,0.00664,0.00217,1.70349,4.30551,1.15295,0.000641095,0.000641095,0.000641095
19,327.548,1.60555,1.85685,1.15786,0.0028,0.84,0.00661,0.00234,1.75429,4.28697,1.16263,0.000674066,0.000674066,0.000674066
20,343.971,1.67607,2.19274,1.13228,0.0028,0.84,0.00622,0.00205,1.79635,4.31906,1.18917,0.000706641,0.000706641,0.000706641
21,359.825,2.01115,2.47043,1.27009,0.00293,0.88,0.00627,0.00202,1.72348,4.29854,1.1547,0.00073882,0.00073882,0.00073882
22,375.785,1.78541,2.24708,1.23924,0.0028,0.84,0.00616,0.0019,1.60986,4.33405,1.11765,0.000770603,0.000770603,0.000770603
23,391.784,1.68307,2.11397,1.10211,0.0028,0.84,0.00563,0.00147,1.70087,4.39896,1.16028,0.00080199,0.00080199,0.00080199
24,407.823,1.8382,1.93766,1.23276,0.00253,0.76,0.00478,0.00119,1.8041,4.44412,1.20952,0.000832981,0.000832981,0.000832981
25,423.868,1.76509,1.99979,1.20794,0.00253,0.76,0.00522,0.00134,1.78116,4.48682,1.20417,0.000863576,0.000863576,0.000863576
26,440.551,1.58257,2.00696,1.08621,0.00267,0.8,0.00532,0.00133,1.78838,4.44336,1.19776,0.000893775,0.000893775,0.000893775
27,456.418,1.55354,1.98053,1.1707,0.00253,0.76,0.00483,0.00134,1.7958,4.37419,1.18949,0.000923578,0.000923578,0.000923578
28,472.248,1.61088,1.7037,1.18297,0.00253,0.76,0.00483,0.00134,1.7958,4.37419,1.18949,0.000952985,0.000952985,0.000952985
29,488.109,1.58083,1.98545,1.10622,0.00293,0.88,0.00613,0.00169,1.73453,4.26246,1.19966,0.000981996,0.000981996,0.000981996
30,504.057,1.56178,1.67391,1.14608,0.00293,0.88,0.0056,0.00177,1.68595,4.23955,1.20153,0.00101061,0.00101061,0.00101061
31,519.942,1.57878,2.19432,1.16809,0.00293,0.88,0.0056,0.00177,1.68595,4.23955,1.20153,0.00103883,0.00103883,0.00103883
32,536.252,1.72411,2.35786,1.28991,0.00307,0.92,0.00637,0.00183,1.7417,4.19775,1.21936,0.00106665,0.00106665,0.00106665
33,552.37,1.81089,1.96492,1.16168,0.00293,0.88,0.00611,0.00178,1.81261,4.16004,1.24942,0.00109408,0.00109408,0.00109408
34,569.073,1.67491,1.95306,1.17115,0.00293,0.88,0.00611,0.00178,1.81261,4.16004,1.24942,0.00112111,0.00112111,0.00112111
35,585.032,1.58552,1.78894,1.10464,0.00307,0.92,0.00584,0.00225,1.75387,3.97758,1.25079,0.00114775,0.00114775,0.00114775
36,600.929,1.64906,1.79061,1.33429,0.00307,0.92,0.00702,0.00308,1.68146,3.78492,1.21673,0.00117399,0.00117399,0.00117399
37,616.802,1.40005,1.65969,1.11371,0.00307,0.92,0.00702,0.00308,1.68146,3.78492,1.21673,0.00119983,0.00119983,0.00119983
38,632.782,1.69618,1.67626,1.21302,0.0032,0.96,0.00752,0.00325,1.74244,3.67467,1.219,0.00122528,0.00122528,0.00122528
39,648.649,1.41949,1.87496,1.20106,0.0028,0.84,0.00876,0.00384,1.84343,3.66513,1.24737,0.00125033,0.00125033,0.00125033
40,664.47,1.55329,1.77758,1.21844,0.0028,0.84,0.00876,0.00384,1.84343,3.66513,1.24737,0.00127498,0.00127498,0.00127498
41,680.462,1.58484,1.66946,1.13738,0.00293,0.88,0.06333,0.02304,1.84445,3.56804,1.25114,0.00129924,0.00129924,0.00129924
42,696.594,1.64302,1.67572,1.15055,0.00293,0.88,0.37869,0.16086,1.86687,3.51072,1.2476,0.0013231,0.0013231,0.0013231
43,712.525,1.53742,1.79819,1.08151,0.00293,0.88,0.37869,0.16086,1.86687,3.51072,1.2476,0.00134657,0.00134657,0.00134657
44,728.608,1.64719,1.5752,1.17082,0.00307,0.92,0.61422,0.21647,2.00291,3.51879,1.27505,0.00136964,0.00136964,0.00136964
45,744.628,1.59102,1.49606,1.15391,0.00307,0.92,0.61422,0.21647,2.00291,3.51879,1.27505,0.00139232,0.00139232,0.00139232
46,760.678,1.60397,1.61018,1.1462,0.00307,0.92,0.64589,0.22759,1.98029,3.28647,1.25949,0.0014146,0.0014146,0.0014146
47,776.583,1.57025,1.82298,1.15633,0.00307,0.92,0.64589,0.22759,1.98029,3.28647,1.25949,0.00143648,0.00143648,0.00143648
48,792.569,1.47592,1.50776,1.10283,0.00307,0.92,0.78379,0.30147,1.83373,3.02724,1.22949,0.00145797,0.00145797,0.00145797
49,808.512,1.57719,1.53549,1.09553,0.00307,0.92,0.78379,0.30147,1.83373,3.02724,1.22949,0.00147906,0.00147906,0.00147906
50,824.634,1.55376,1.52164,1.15835,0.78404,0.84,0.82275,0.28733,1.81368,2.96185,1.24721,0.00149975,0.00149975,0.00149975
51,840.534,1.70419,2.01286,1.37009,0.78404,0.84,0.82275,0.28733,1.81368,2.96185,1.24721,0.001505,0.001505,0.001505
52,856.678,1.50298,1.43042,1.10683,0.89385,0.67391,0.78541,0.27407,1.76741,2.92494,1.26198,0.0014951,0.0014951,0.0014951
53,872.548,1.45573,1.46457,1.07313,0.89385,0.67391,0.78541,0.27407,1.76741,2.92494,1.26198,0.0014852,0.0014852,0.0014852
54,888.538,1.34262,1.5151,1.09566,0.89905,0.7128,0.83575,0.31849,1.80298,2.66445,1.32098,0.0014753,0.0014753,0.0014753
55,904.485,1.44228,1.81625,1.22079,0.89905,0.7128,0.83575,0.31849,1.80298,2.66445,1.32098,0.0014654,0.0014654,0.0014654
56,920.721,1.432,1.38714,1.08502,0.81735,0.72,0.78615,0.31119,1.89642,2.60769,1.3858,0.0014555,0.0014555,0.0014555
57,936.668,1.45418,1.34601,1.13455,0.81735,0.72,0.78615,0.31119,1.89642,2.60769,1.3858,0.0014456,0.0014456,0.0014456
58,952.696,1.33791,1.45047,1.06399,0.83341,0.80048,0.84353,0.3105,1.90341,2.45862,1.37339,0.0014357,0.0014357,0.0014357
59,968.599,1.54037,1.42235,1.141,0.83341,0.80048,0.84353,0.3105,1.90341,2.45862,1.37339,0.0014258,0.0014258,0.0014258
60,984.548,1.39467,1.31016,1.07747,0.83355,0.80129,0.85476,0.31123,1.99873,2.2179,1.42323,0.0014159,0.0014159,0.0014159
61,1000.52,1.53673,1.36436,1.13617,0.83355,0.80129,0.85476,0.31123,1.99873,2.2179,1.42323,0.001406,0.001406,0.001406
62,1016.59,1.37375,1.45963,1.12491,0.80441,0.82291,0.85875,0.33531,2.10691,2.11045,1.48467,0.0013961,0.0013961,0.0013961
63,1034.68,1.51893,1.35417,1.07436,0.80441,0.82291,0.85875,0.33531,2.10691,2.11045,1.48467,0.0013862,0.0013862,0.0013862
64,1051.8,1.54963,1.23544,1.12692,0.969,0.88,0.98,0.34403,2.05643,1.93984,1.44073,0.0013763,0.0013763,0.0013763
65,1068.38,1.44644,1.338,1.02084,0.969,0.88,0.98,0.34403,2.05643,1.93984,1.44073,0.0013664,0.0013664,0.0013664
66,1084.69,1.65966,1.28144,1.14863,0.85997,0.73741,0.76175,0.32141,2.12124,1.94787,1.44235,0.0013565,0.0013565,0.0013565
67,1100.67,1.65614,1.37587,1.17003,0.85997,0.73741,0.76175,0.32141,2.12124,1.94787,1.44235,0.0013466,0.0013466,0.0013466
68,1116.7,1.38207,1.37203,1.07021,0.87054,0.76,0.77685,0.32659,2.14163,1.91397,1.43719,0.0013367,0.0013367,0.0013367
69,1132.61,1.63584,1.44175,1.16501,0.87054,0.76,0.77685,0.32659,2.14163,1.91397,1.43719,0.0013268,0.0013268,0.0013268
70,1149.27,1.51359,1.53699,1.09824,0.95177,0.78974,0.89963,0.36098,2.03199,1.84879,1.42494,0.0013169,0.0013169,0.0013169
71,1165.82,1.25566,1.21066,1.0018,0.95177,0.78974,0.89963,0.36098,2.03199,1.84879,1.42494,0.001307,0.001307,0.001307
72,1181.8,1.35878,1.25314,1.0551,0.9145,0.88,0.94737,0.38155,2.00143,1.75827,1.42485,0.0012971,0.0012971,0.0012971
73,1197.78,1.35157,1.32058,1.08745,0.9145,0.88,0.94737,0.38155,2.00143,1.75827,1.42485,0.0012872,0.0012872,0.0012872
74,1213.77,1.27235,1.32272,0.99886,0.9022,0.84,0.8849,0.38287,1.99963,1.62149,1.45884,0.0012773,0.0012773,0.0012773
75,1229.53,1.38582,1.24285,1.04614,0.9022,0.84,0.8849,0.38287,1.99963,1.62149,1.45884,0.0012674,0.0012674,0.0012674
76,1245.3,1.3705,1.26272,1.03715,0.91571,0.86939,0.88412,0.37868,1.99635,1.54985,1.44319,0.0012575,0.0012575,0.0012575
77,1260.98,1.27822,1.13358,1.00831,0.91571,0.86939,0.88412,0.37868,1.99635,1.54985,1.44319,0.0012476,0.0012476,0.0012476
78,1276.7,1.33279,1.17166,1.02476,0.91546,0.86664,0.86954,0.38461,1.99525,1.53276,1.42158,0.0012377,0.0012377,0.0012377
79,1292.38,1.36577,1.13246,1.06456,0.91546,0.86664,0.86954,0.38461,1.99525,1.53276,1.42158,0.0012278,0.0012278,0.0012278
80,1308.06,1.38268,1.15551,1.10856,0.87892,0.87132,0.8828,0.34582,2.04044,1.57116,1.44053,0.0012179,0.0012179,0.0012179
81,1323.65,1.25456,1.14706,1.07468,0.87892,0.87132,0.8828,0.34582,2.04044,1.57116,1.44053,0.001208,0.001208,0.001208
82,1339.58,1.17404,1.01491,0.9658,0.94654,0.76,0.88729,0.2817,2.25948,1.64933,1.53763,0.0011981,0.0011981,0.0011981
83,1355.22,1.19698,1.21845,1.06451,0.94654,0.76,0.88729,0.2817,2.25948,1.64933,1.53763,0.0011882,0.0011882,0.0011882
84,1370.92,1.28571,1.11932,1.04517,0.94985,0.75771,0.87134,0.28684,2.32755,1.64801,1.55524,0.0011783,0.0011783,0.0011783
85,1386.49,1.19561,1.12201,0.95538,0.94985,0.75771,0.87134,0.28684,2.32755,1.64801,1.55524,0.0011684,0.0011684,0.0011684
86,1402.18,1.25076,1.19053,1.08954,0.94661,0.70958,0.81967,0.30135,2.27692,1.60676,1.5135,0.0011585,0.0011585,0.0011585
87,1417.71,1.20717,1.19114,0.99402,0.94661,0.70958,0.81967,0.30135,2.27692,1.60676,1.5135,0.0011486,0.0011486,0.0011486
88,1433.39,1.23387,1.04261,0.96947,0.88519,0.64,0.72952,0.30785,2.24971,1.61372,1.49562,0.0011387,0.0011387,0.0011387
89,1448.91,1.42724,1.2362,1.05194,0.88519,0.64,0.72952,0.30785,2.24971,1.61372,1.49562,0.0011288,0.0011288,0.0011288
90,1464.61,1.55482,1.25941,1.12291,1,0.70547,0.84495,0.32076,2.22158,1.56784,1.48455,0.0011189,0.0011189,0.0011189
91,1480.31,1.23575,1.07043,1.00034,1,0.70547,0.84495,0.32076,2.22158,1.56784,1.48455,0.001109,0.001109,0.001109
92,1495.95,1.23509,1.06028,0.98093,0.85967,0.8,0.86823,0.31303,2.24237,1.43918,1.53082,0.0010991,0.0010991,0.0010991
93,1511.54,1.18997,1.04888,1.04649,0.85967,0.8,0.86823,0.31303,2.24237,1.43918,1.53082,0.0010892,0.0010892,0.0010892
94,1527.21,1.10157,0.94943,0.98285,0.95804,0.91362,0.97159,0.37659,2.13485,1.3533,1.4823,0.0010793,0.0010793,0.0010793
95,1542.68,1.21616,1.11554,1.00092,0.95804,0.91362,0.97159,0.37659,2.13485,1.3533,1.4823,0.0010694,0.0010694,0.0010694
96,1558.67,1.26476,1.21902,0.99426,0.88026,0.88229,0.95971,0.34293,2.1138,1.33368,1.47417,0.0010595,0.0010595,0.0010595
97,1574.32,1.01377,0.99603,0.95761,0.88026,0.88229,0.95971,0.34293,2.1138,1.33368,1.47417,0.0010496,0.0010496,0.0010496
98,1589.94,1.17733,1.03424,0.96977,0.82803,0.88,0.87609,0.31012,2.2033,1.39925,1.54144,0.0010397,0.0010397,0.0010397
99,1605.48,1.26813,1.0563,1.04361,0.82803,0.88,0.87609,0.31012,2.2033,1.39925,1.54144,0.0010298,0.0010298,0.0010298
100,1621.15,1.36042,1.08444,1.03695,0.90025,0.8,0.90801,0.30437,2.26091,1.41786,1.54047,0.0010199,0.0010199,0.0010199
101,1636.79,1.1559,1.12697,1.06232,0.90025,0.8,0.90801,0.30437,2.26091,1.41786,1.54047,0.00101,0.00101,0.00101
102,1652.39,1.18895,1.09026,0.982,0.89128,0.72,0.88145,0.27516,2.43922,1.38434,1.58094,0.0010001,0.0010001,0.0010001
103,1667.95,1.12031,1.03278,0.92021,0.89128,0.72,0.88145,0.27516,2.43922,1.38434,1.58094,0.0009902,0.0009902,0.0009902
104,1683.56,1.20521,1.02802,1.06399,0.83151,0.78993,0.87797,0.29722,2.32178,1.39143,1.51089,0.0009803,0.0009803,0.0009803
105,1699.03,1.16549,1.03427,0.99961,0.83151,0.78993,0.87797,0.29722,2.32178,1.39143,1.51089,0.0009704,0.0009704,0.0009704
106,1714.69,1.08476,0.96052,1.01437,0.87358,0.82956,0.89719,0.31395,2.23053,1.34316,1.49419,0.0009605,0.0009605,0.0009605
107,1730.07,1.19437,1.00763,1.00694,0.87358,0.82956,0.89719,0.31395,2.23053,1.34316,1.49419,0.0009506,0.0009506,0.0009506
108,1745.63,1.18634,0.94778,1.00464,0.81399,0.72,0.76127,0.28724,2.23712,1.31507,1.51818,0.0009407,0.0009407,0.0009407
109,1761.11,1.06555,0.97581,0.97287,0.81399,0.72,0.76127,0.28724,2.23712,1.31507,1.51818,0.0009308,0.0009308,0.0009308
110,1776.73,1.14811,1.06175,1.00856,0.81197,0.86405,0.87462,0.33729,2.17505,1.25307,1.50881,0.0009209,0.0009209,0.0009209
111,1792.28,1.15923,0.97296,1.04735,0.81197,0.86405,0.87462,0.33729,2.17505,1.25307,1.50881,0.000911,0.000911,0.000911
112,1807.93,1.33703,1.17401,1.09641,0.82032,0.9133,0.9361,0.32819,2.17755,1.23797,1.50358,0.0009011,0.0009011,0.0009011
113,1823.5,1.20587,1.08412,0.99651,0.82032,0.9133,0.9361,0.32819,2.17755,1.23797,1.50358,0.0008912,0.0008912,0.0008912
114,1839.21,1.0674,0.93385,1.00281,0.89494,0.76,0.83168,0.3005,2.24602,1.2867,1.54077,0.0008813,0.0008813,0.0008813
115,1854.83,1.01459,0.9417,0.93893,0.89494,0.76,0.83168,0.3005,2.24602,1.2867,1.54077,0.0008714,0.0008714,0.0008714
116,1870.4,0.97459,0.95965,1.00333,0.8018,0.68,0.69447,0.26839,2.32696,1.38712,1.59476,0.0008615,0.0008615,0.0008615
117,1885.99,1.07485,0.93699,0.95713,0.8018,0.68,0.69447,0.26839,2.32696,1.38712,1.59476,0.0008516,0.0008516,0.0008516
118,1903.09,1.07512,0.92356,1.00225,0.90049,0.76,0.83022,0.28112,2.28723,1.30832,1.56348,0.0008417,0.0008417,0.0008417
