epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.6123,2.44716,5.80868,1.25962,0.00093,0.28,0.00086,0.00021,3.00245,5.46783,1.64485,2e-05,2e-05,2e-05
2,31.6156,2.42145,4.90637,1.41196,0.00187,0.56,0.00221,0.00062,2.73589,5.23175,1.50726,5.92575e-05,5.92575e-05,5.92575e-05
3,48.0232,2.14699,4.94694,1.24178,0.00267,0.8,0.00403,0.00146,2.38599,4.8686,1.34038,9.7525e-05,9.7525e-05,9.7525e-05
4,64.772,1.99575,4.82217,1.15813,0.00293,0.88,0.00708,0.00293,1.9419,4.50282,1.15604,0.000134803,0.000134803,0.000134803
5,82.2053,1.75185,4.03029,1.0656,0.00307,0.92,0.01044,0.00473,1.68727,4.40188,1.06948,0.00017109,0.00017109,0.00017109
6,99.1375,1.64782,3.87897,1.07752,0.00293,0.88,0.01197,0.00526,1.58962,4.36342,1.05036,0.000206388,0.000206388,0.000206388
7,116.204,1.76041,3.05142,1.08711,0.00307,0.92,0.01349,0.00565,1.67767,4.33621,1.08149,0.000240695,0.000240695,0.000240695
8,133.021,1.96933,3.24358,1.14718,0.00307,0.92,0.01311,0.00608,1.55172,4.43617,1.0763,0.000274012,0.000274012,0.000274012
9,149.856,1.85919,2.7068,1.2273,0.00307,0.92,0.01217,0.00512,1.54496,4.40525,1.09226,0.00030634,0.00030634,0.00030634
10,166.513,1.98977,2.29801,1.24163,0.00293,0.88,0.0108,0.00459,1.58013,4.33824,1.10346,0.000337677,0.000337677,0.000337677
11,182.978,1.74948,2.72512,1.15699,0.00293,0.88,0.00955,0.00436,1.5928,4.29157,1.1121,0.000368025,0.000368025,0.000368025
12,200.406,1.65137,2.38676,1.09198,0.00307,0.92,0.00943,0.00361,1.61684,4.29213,1.13771,0.000397383,0.000397383,0.000397383
13,218.244,1.70319,2.42587,1.09125,0.00293,0.88,0.00864,0.00392,1.64172,4.23752,1.13611,0.00042575,0.00042575,0.00042575
