epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1420.25,1.58792,1.48601,1.19899,0.46332,0.93567,0.67812,0.28342,1.94235,1.30808,1.30038,0.000990365,0.000990365,0.000990365
43,1454.32,1.65399,1.40628,1.13238,0.50515,0.91333,0.66696,0.27271,1.94636,1.28573,1.32013,0.000973861,0.000973861,0.000973861
44,1488.61,1.6521,1.48027,1.14524,0.53392,0.89314,0.65411,0.30122,1.8681,1.26308,1.31674,0.000957358,0.000957358,0.000957358
45,1522.58,1.42642,1.42031,1.03168,0.52374,0.93667,0.70111,0.32531,1.82155,1.26511,1.28682,0.000940855,0.000940855,0.000940855
46,1556.29,1.51455,1.51605,1.1236,0.52374,0.93667,0.70111,0.32531,1.82155,1.26511,1.28682,0.000924352,0.000924352,0.000924352
47,1590.36,1.71497,1.45566,1.28388,0.53848,0.90333,0.7441,0.35584,1.79488,1.3055,1.28264,0.000907848,0.000907848,0.000907848
48,1624.22,1.54862,1.41056,1.18265,0.43975,0.96,0.6903,0.29744,1.82277,1.32545,1.29382,0.000891345,0.000891345,0.000891345
49,1657.88,1.57372,1.35973,1.20104,0.4436,0.95,0.62153,0.30383,1.821,1.32302,1.28566,0.000874842,0.000874842,0.000874842
50,1691.99,1.53204,1.44699,1.21635,0.42354,0.96,0.7009,0.32781,1.77037,1.26432,1.26201,0.000858338,0.000858338,0.000858338
51,1725.83,1.54204,1.40784,1.23222,0.42354,0.96,0.7009,0.32781,1.77037,1.26432,1.26201,0.000841835,0.000841835,0.000841835
52,1759.62,1.5002,1.30918,1.10122,0.44941,0.97065,0.71435,0.32585,1.80913,1.24118,1.2534,0.000825332,0.000825332,0.000825332
53,1793.39,1.4179,1.34336,1.11345,0.45418,0.99,0.72742,0.3336,1.79074,1.22333,1.25564,0.000808828,0.000808828,0.000808828
54,1828,1.47993,1.43075,1.1139,0.45189,0.90333,0.6974,0.33104,1.87042,1.24802,1.29436,0.000792325,0.000792325,0.000792325
55,1861.81,1.48768,1.27394,1.13988,0.45189,0.90333,0.6974,0.33104,1.87042,1.24802,1.29436,0.000775822,0.000775822,0.000775822
56,1895.72,1.48939,1.32608,1.21657,0.5041,0.92667,0.75879,0.34319,1.87501,1.24755,1.28822,0.000759318,0.000759318,0.000759318
57,1930.14,1.36003,1.27675,1.0811,0.53783,0.93333,0.70206,0.3356,1.85422,1.21091,1.26347,0.000742815,0.000742815,0.000742815
58,1964.03,1.42063,1.27679,1.08643,0.474,0.98,0.65758,0.31942,1.85197,1.21879,1.25427,0.000726312,0.000726312,0.000726312
59,2000.54,1.28636,1.27548,1.06107,0.46437,0.98,0.6985,0.32722,1.82664,1.23318,1.24168,0.000709809,0.000709809,0.000709809
60,2034.64,1.41476,1.29753,1.09007,0.46437,0.98,0.6985,0.32722,1.82664,1.23318,1.24168,0.000693305,0.000693305,0.000693305
61,2068.12,1.41535,1.20809,1.1564,0.43257,0.98,0.65698,0.30454,1.83954,1.24182,1.23249,0.000676802,0.000676802,0.000676802
62,2102.29,1.412,1.15475,1.07631,0.42327,0.97,0.67856,0.3013,1.87662,1.25726,1.2328,0.000660299,0.000660299,0.000660299
63,2135.84,1.49259,1.44663,1.15804,0.43232,0.98,0.67439,0.30127,1.85871,1.25408,1.22852,0.000643795,0.000643795,0.000643795
64,2169.26,1.34984,1.27462,1.05809,0.43232,0.98,0.67439,0.30127,1.85871,1.25408,1.22852,0.000627292,0.000627292,0.000627292
65,2202.82,1.4315,1.30751,1.07048,0.44791,0.98,0.66538,0.31089,1.80893,1.23307,1.22089,0.000610789,0.000610789,0.000610789
66,2236.33,1.38846,1.33102,1.11282,0.46685,0.99,0.69574,0.32668,1.78651,1.20044,1.22075,0.000594286,0.000594286,0.000594286
67,2270.28,1.30451,1.20516,1.06307,0.50918,1,0.66521,0.32901,1.79184,1.18327,1.23243,0.000577782,0.000577782,0.000577782
68,2303.86,1.36122,1.22899,1.08698,0.54323,1,0.69769,0.36011,1.79245,1.17966,1.24732,0.000561279,0.000561279,0.000561279
69,2337.15,1.28493,1.29099,1.043,0.54323,1,0.69769,0.36011,1.79245,1.17966,1.24732,0.000544776,0.000544776,0.000544776
70,2370.97,1.4727,1.22786,1.10222,0.54017,0.93333,0.73575,0.36413,1.79168,1.15357,1.24653,0.000528272,0.000528272,0.000528272
71,2405.21,1.41554,1.21921,1.15433,0.52617,1,0.70298,0.3599,1.78481,1.16052,1.24421,0.000511769,0.000511769,0.000511769
