epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.7158,2.76353,7.84033,1.63805,0.00053,0.16,0.00044,0.00013,3.08348,5.50836,1.70496,2e-05,2e-05,2e-05
2,33.9612,2.35393,6.31007,1.53488,0.0012,0.36,0.0011,0.00034,2.89315,5.27109,1.59707,5.406e-05,5.406e-05,5.406e-05
3,54.0131,2.43486,5.9517,1.47582,0.002,0.6,0.00208,0.00069,2.61481,5.24985,1.48618,8.02e-05,8.02e-05,8.02e-05
4,73.2943,2.09434,6.18752,1.23684,0.0024,0.72,0.0041,0.00154,2.35622,4.97839,1.356,9.842e-05,9.842e-05,9.842e-05
5,91.0091,1.70638,5.21247,1.18815,0.00267,0.8,0.00715,0.0023,2.10264,4.66573,1.26949,0.00010872,0.00010872,0.00010872
6,110.421,1.72176,4.97825,1.11478,0.0028,0.84,0.0093,0.00362,1.93479,4.52319,1.2085,0.0001111,0.0001111,0.0001111
7,129.563,1.77241,4.53886,1.13406,0.0028,0.84,0.01102,0.0045,1.82197,4.42371,1.15363,0.00010556,0.00010556,0.00010556
8,146.43,2.03526,5.07392,1.14875,0.00293,0.88,0.0112,0.00523,1.72886,4.40934,1.09485,9.21e-05,9.21e-05,9.21e-05
9,164.333,1.85507,4.24496,1.19501,0.0028,0.84,0.01038,0.00516,1.70909,4.42115,1.09345,7.072e-05,7.072e-05,7.072e-05
10,183.282,1.84002,4.37144,1.27575,0.00293,0.88,0.0101,0.00522,1.6767,4.41298,1.09706,4.142e-05,4.142e-05,4.142e-05
