epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.058,2.45466,5.77666,1.27296,0.00067,0.2,0.0005,0.00012,3.12273,5.5762,1.72923,0,0,0
2,64.0858,2.63793,5.07539,1.47119,0.00093,0.28,0.00086,0.00021,2.99442,5.4841,1.64229,1.9802e-05,1.9802e-05,1.9802e-05
3,91.5107,2.64112,5.30344,1.43933,0.00133,0.4,0.0013,0.00044,2.85897,5.33279,1.57744,3.9208e-05,3.9208e-05,3.9208e-05
4,121.426,2.52397,5.63197,1.44192,0.002,0.6,0.00241,0.00077,2.67139,5.2648,1.4679,5.8218e-05,5.8218e-05,5.8218e-05
5,147.818,2.0012,4.60968,1.20717,0.00227,0.68,0.00293,0.00109,2.5394,4.973,1.398,7.6832e-05,7.6832e-05,7.6832e-05
6,177.375,2.03341,4.65192,1.21522,0.00267,0.8,0.00445,0.00173,2.22316,4.76885,1.28447,9.505e-05,9.505e-05,9.505e-05
7,204.668,1.72499,4.18696,1.11318,0.00293,0.88,0.007,0.00249,2.00001,4.67143,1.22237,0.000112872,0.000112872,0.000112872
8,238.109,1.86278,4.5873,1.13228,0.00293,0.88,0.00845,0.00334,1.84429,4.46842,1.16689,0.000130298,0.000130298,0.000130298
9,273.287,1.85439,4.32099,1.22503,0.0028,0.84,0.00869,0.00364,1.70581,4.36663,1.11954,0.000147328,0.000147328,0.000147328
10,303.07,2.0036,4.02826,1.17128,0.00267,0.8,0.00864,0.00389,1.63837,4.40187,1.10371,0.000163962,0.000163962,0.000163962
11,332.177,1.82236,4.01661,1.07461,0.00267,0.8,0.00863,0.00359,1.63929,4.42079,1.11822,0.0001802,0.0001802,0.0001802
12,357.912,1.5614,3.70327,1.02602,0.00253,0.76,0.00633,0.00265,1.63316,4.47914,1.10947,0.000196042,0.000196042,0.000196042
13,387.332,1.6393,3.43178,1.04513,0.00227,0.68,0.00584,0.00239,1.61861,4.53102,1.10617,0.000211488,0.000211488,0.000211488
14,413.321,1.83453,3.00081,1.15069,0.00213,0.64,0.00527,0.00239,1.63464,4.54527,1.12529,0.000226538,0.000226538,0.000226538
15,439.247,1.53582,3.09122,1.0204,0.00227,0.68,0.00645,0.00329,1.59327,4.55104,1.10405,0.000241192,0.000241192,0.000241192
16,462.49,1.77244,2.52725,1.33899,0.00227,0.68,0.00617,0.00317,1.53947,4.53284,1.10073,0.00025545,0.00025545,0.00025545
17,484.157,1.72107,2.40086,1.17158,0.00213,0.64,0.00501,0.00169,1.55287,4.41743,1.13716,0.000269312,0.000269312,0.000269312
18,505.492,1.85923,2.41013,1.142,0.00213,0.64,0.00547,0.00145,1.54377,4.4052,1.14698,0.000282778,0.000282778,0.000282778
19,526.118,1.84313,2.1247,1.21659,0.00187,0.56,0.00479,0.00127,1.57909,4.41759,1.15425,0.000295848,0.000295848,0.000295848
20,547.786,1.90003,2.44999,1.18955,0.0016,0.48,0.00346,0.00095,1.60358,4.49003,1.16859,0.000308522,0.000308522,0.000308522
21,568.994,2.01572,2.91966,1.26898,0.0016,0.48,0.00317,0.00075,1.61923,4.51453,1.18148,0.0003208,0.0003208,0.0003208
22,589.988,1.84043,2.97724,1.20575,0.00147,0.44,0.0027,0.00072,1.66803,4.50353,1.18951,0.000332682,0.000332682,0.000332682
23,611.508,1.71604,2.58625,1.08588,0.0016,0.48,0.00315,0.00084,1.67316,4.46547,1.16848,0.000344168,0.000344168,0.000344168
24,632.632,1.86502,2.38039,1.15382,0.00213,0.64,0.00458,0.00093,1.67823,4.47559,1.16684,0.000355258,0.000355258,0.000355258
25,652.888,1.75526,2.44326,1.16357,0.0016,0.48,0.00254,0.00064,1.63684,4.5219,1.17548,0.000365952,0.000365952,0.000365952
26,674.093,1.56629,2.30589,1.08445,0.00147,0.44,0.00241,0.00044,1.62821,4.4935,1.17468,0.00037625,0.00037625,0.00037625
27,693.956,1.58232,2.33143,1.14137,0.00133,0.4,0.00202,0.00041,1.61676,4.5225,1.17286,0.000386152,0.000386152,0.000386152
28,716.773,1.53033,2.03821,1.13514,0.00133,0.4,0.00193,0.0004,1.59377,4.52765,1.16671,0.000395658,0.000395658,0.000395658
29,737.501,1.48274,2.14365,1.01889,0.0012,0.36,0.00146,0.00039,1.59797,4.51919,1.16251,0.000404768,0.000404768,0.000404768
30,758.315,1.60043,1.86035,1.1662,0.0016,0.48,0.00214,0.00045,1.61239,4.49909,1.16071,0.000413482,0.000413482,0.000413482
31,777.067,1.54543,2.16166,1.17183,0.00147,0.44,0.0019,0.00036,1.61637,4.45913,1.15932,0.0004218,0.0004218,0.0004218
32,796.648,1.5226,2.35766,1.1926,0.00173,0.52,0.00269,0.00047,1.60418,4.44909,1.15137,0.000429722,0.000429722,0.000429722
33,817.694,1.49896,1.88311,1.0275,0.00173,0.52,0.00281,0.00064,1.62317,4.42055,1.15032,0.000437248,0.000437248,0.000437248
34,838.505,1.5922,2.01171,1.11288,0.00173,0.52,0.00281,0.00064,1.62317,4.42055,1.15032,0.000444378,0.000444378,0.000444378
35,858.948,1.67102,1.90707,1.11707,0.002,0.6,0.00338,0.00084,1.63451,4.38266,1.15326,0.000451112,0.000451112,0.000451112
