epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.1689,2.44931,4.62458,1.65078,0.00489,0.87879,0.17329,0.04754,2.25952,3.87699,1.47134,0.00055011,0.00055011,0.00055011
2,130.585,2.17054,3.21943,1.45271,0.26211,0.56534,0.40037,0.13042,2.51385,3.12702,1.42186,0.00109483,0.00109483,0.00109483
3,199.447,2.10556,2.96292,1.36552,0.53673,0.69358,0.59027,0.20931,2.25685,2.54239,1.52647,0.00162855,0.00162855,0.00162855
4,265.802,2.04084,2.93598,1.40106,0.33973,0.74179,0.49476,0.14574,2.45449,2.66359,1.56124,0.00161749,0.00161749,0.00161749
