epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.8863,2.38292,4.00272,1.55506,0.76695,0.49495,0.75058,0.34594,1.74677,2.84546,1.12035,0.00055011,0.00055011,0.00055011
2,127.713,2.0595,2.68989,1.31559,0.75476,0.70837,0.72111,0.27953,2.30537,2.22821,1.5165,0.00108388,0.00108388,0.00108388
3,196.921,2.00333,2.44566,1.2469,0.56643,0.79443,0.57126,0.24723,1.94645,2.56144,1.27493,0.00159565,0.00159565,0.00159565
4,264.112,2.03355,2.4006,1.344,0.45131,0.43564,0.51421,0.25896,2.0553,2.46307,1.22631,0.00156798,0.00156798,0.00156798
5,332.989,1.95511,2.27726,1.29452,0.66539,0.77566,0.65863,0.28628,1.85877,4.58907,1.41155,0.00153497,0.00153497,0.00153497
6,398.939,1.80471,2.18418,1.28615,0.64267,0.87929,0.83346,0.40615,1.6483,2.98284,1.15166,0.00150197,0.00150197,0.00150197
7,464.975,1.82188,2.14262,1.22027,0.92133,0.85079,0.91606,0.36475,1.99314,1.99065,1.16666,0.00146896,0.00146896,0.00146896
8,531.81,1.72378,2.09489,1.21642,0.84873,0.88772,0.90036,0.48015,1.55446,1.77162,1.0864,0.00143595,0.00143595,0.00143595
9,599.075,1.68402,1.92094,1.21915,0.68291,0.94554,0.83219,0.38709,1.63156,1.88794,1.18546,0.00140295,0.00140295,0.00140295
10,665.274,1.66885,1.81352,1.20464,0.82628,0.90702,0.90761,0.40815,1.65624,1.81881,1.25128,0.00136994,0.00136994,0.00136994
11,731.725,1.62309,1.65017,1.21101,0.70391,0.87504,0.82078,0.37369,1.69028,1.56324,1.23745,0.00133693,0.00133693,0.00133693
12,802.681,1.63239,1.72831,1.20421,0.96599,0.91582,0.98543,0.46641,1.84758,1.42185,1.48477,0.00130393,0.00130393,0.00130393
13,869.181,1.5907,1.63716,1.21335,0.98409,0.94571,0.98822,0.52197,1.67224,1.28774,1.32238,0.00127092,0.00127092,0.00127092
14,936.34,1.58254,1.59677,1.19715,0.98628,0.88729,0.97492,0.46386,1.76636,1.96848,1.26945,0.00123791,0.00123791,0.00123791
15,1001.4,1.59733,1.54796,1.19201,0.75727,0.88228,0.83924,0.42083,1.64463,1.76525,1.27955,0.00120491,0.00120491,0.00120491
16,1068.28,1.67067,1.54714,1.20308,0.99518,0.86482,0.98735,0.51831,1.50881,1.86056,1.13904,0.0011719,0.0011719,0.0011719
17,1134,1.55849,1.54064,1.19717,0.92228,0.9422,0.98609,0.49316,1.7232,1.75272,1.19759,0.00113889,0.00113889,0.00113889
18,1201.55,1.51132,1.59349,1.14563,0.98032,0.94708,0.98472,0.54284,1.51606,1.4001,1.16611,0.00110589,0.00110589,0.00110589
19,1267.52,1.4867,1.41027,1.13496,0.98413,0.94505,0.98446,0.55694,1.47,1.43039,1.17372,0.00107288,0.00107288,0.00107288
20,1333.33,1.50025,1.53365,1.10535,0.99316,0.9504,0.98617,0.57744,1.45832,1.3217,1.17226,0.00103987,0.00103987,0.00103987
21,1398.95,1.43377,1.3932,1.10546,0.94854,0.90793,0.97565,0.47785,1.55081,1.43248,1.01989,0.00100687,0.00100687,0.00100687
22,1464.44,1.46638,1.40151,1.06973,0.99032,0.94245,0.9836,0.49818,1.52212,1.27966,0.99736,0.000973861,0.000973861,0.000973861
23,1530.73,1.46447,1.37215,1.07205,0.97549,0.96823,0.98746,0.54863,1.34438,1.31638,1.00668,0.000940855,0.000940855,0.000940855
24,1597.22,1.38288,1.33161,1.05952,0.98502,0.93044,0.98288,0.51228,1.40674,1.40493,1.04144,0.000907848,0.000907848,0.000907848
25,1662.9,1.42743,1.31055,1.08904,0.9646,0.93838,0.98349,0.54454,1.53775,1.41849,1.11404,0.000874842,0.000874842,0.000874842
26,1728.15,1.34559,1.26722,1.06813,0.98536,0.97274,0.98873,0.5562,1.47863,1.35074,1.10185,0.000841835,0.000841835,0.000841835
27,1793.77,1.35927,1.2715,1.06876,0.98033,0.96791,0.98785,0.55453,1.36613,1.26085,1.04009,0.000808828,0.000808828,0.000808828
28,1859.61,1.25933,1.26692,1.05101,0.98045,0.97624,0.98841,0.52817,1.49562,1.24797,1.04477,0.000775822,0.000775822,0.000775822
29,1924.02,1.32913,1.25445,1.0367,0.98047,0.97827,0.9877,0.55999,1.44393,1.31348,1.04087,0.000742815,0.000742815,0.000742815
30,1988.68,1.33787,1.27752,1.06146,0.97987,0.96034,0.98603,0.59756,1.29231,1.44252,1.01803,0.000709809,0.000709809,0.000709809
