epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,712.559,1.68541,1.69138,1.0971,0.00333,1,0.4965,0.16479,1.89529,3.40275,1.26504,0.00099314,0.00099314,0.00099314
44,728.617,1.75761,1.58981,1.1849,0.00333,1,0.5866,0.21368,1.92924,3.42121,1.25991,0.000999282,0.000999282,0.000999282
45,744.51,1.77632,1.58321,1.1812,0.00333,1,0.5866,0.21368,1.92924,3.42121,1.25991,0.00100463,0.00100463,0.00100463
46,760.488,1.82861,1.57802,1.21236,0.00333,1,0.58871,0.23574,1.94191,3.3547,1.26332,0.00100919,0.00100919,0.00100919
47,776.628,1.56923,1.80666,1.1917,0.00333,1,0.58871,0.23574,1.94191,3.3547,1.26332,0.00101296,0.00101296,0.00101296
48,792.815,1.54232,1.51644,1.1422,0.0032,0.96,0.66741,0.25322,1.94683,3.23388,1.28993,0.00101593,0.00101593,0.00101593
49,808.817,1.43226,1.54032,1.06524,0.0032,0.96,0.66741,0.25322,1.94683,3.23388,1.28993,0.00101811,0.00101811,0.00101811
50,824.72,1.64707,1.57478,1.17386,0.01524,0.72,0.64449,0.21857,2.00523,3.08115,1.33916,0.0010195,0.0010195,0.0010195
51,840.586,1.66435,1.98887,1.28343,0.01524,0.72,0.64449,0.21857,2.00523,3.08115,1.33916,0.00101,0.00101,0.00101
52,856.348,1.6634,1.45079,1.13191,0.92324,0.4812,0.75901,0.27419,1.94626,2.95466,1.33766,0.0009902,0.0009902,0.0009902
53,872.21,1.51961,1.44295,1.07433,0.92324,0.4812,0.75901,0.27419,1.94626,2.95466,1.33766,0.0009704,0.0009704,0.0009704
54,888.078,1.44487,1.52547,1.11011,1,0.41531,0.79163,0.30454,1.87757,2.8028,1.30432,0.0009506,0.0009506,0.0009506
